"","VALUE","COUNT","EVT_NAME","LFRDB","EVT_FUEL","EVT_FUEL_N","EVT_LF","EVT_PHYS","EVT_GP","EVT_GP_N","SAF_SRM","EVT_ORDER","EVT_CLASS","EVT_SBCLS","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"55",7910,101118,"Western Warm Temperate Urban Deciduous Forest",7910,2913,"Dtd Urban Deciduous Forest","Tree","Developed",13,"Developed-Upland Deciduous Forest","LF 20: Developed","Tree-dominated","Open tree canopy","Deciduous open tree canopy",112,68,137,0.439216,0.266667,0.537255,22488,0.057
"56",9732,90271,"Southeastern Great Plains Floodplain Herbaceous",9230,2471,"Tr Central Interior and Appalachian Floodplain Systems","Herb","Riparian",666,"Eastern Floodplain Forests","SAF 61: River Birch-Sycamore","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",0,92,0,0,0.360784,0,20076,0.051
"57",9028,66717,"Western Great Plains Riparian Woodland",9028,2162,"Tr Western Great Plains Floodplain Systems","Tree","Riparian",635,"Western Riparian Woodland and Shrubland","LF 42: Great Plains Riparian","Tree-dominated","Open tree canopy","Deciduous open tree canopy",6,53,122,0.023529,0.207843,0.478431,14838,0.037
"58",7930,62516,"Western Warm Temperate Developed Deciduous Forest",7930,2908,"Dtd Developed Deciduous Forest","Tree","Developed",13,"Developed-Upland Deciduous Forest","LF 20: Developed","Tree-dominated","Open tree canopy","Deciduous open tree canopy",64,61,168,0.25098,0.239216,0.658824,13903,0.035
"59",9593,62968,"Edwards Plateau Floodplain Terrace Herbaceous",9092,2529,"Tr Edwards Plateau Floodplain Terrace","Herb","Riparian",666,"Eastern Floodplain Forests","LF 42: Great Plains Riparian","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid",6,53,122,0.023529,0.207843,0.478431,14004,0.035
"60",9268,59148,"Tamaulipan Ramadero",9268,2476,"Tr Tamaulipan Riparian Systems","Shrub","Riparian",668,"Eastern Small Stream Riparian Forests","LF 42: Great Plains Riparian","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",6,53,122,0.023529,0.207843,0.478431,13154,0.033
"61",9091,48895,"Edwards Plateau Cliff",9091,2007,"Sps Western Great Plains Sparsely Vegetated Systems","Sparse","Sparsely Vegetated",700,"Sparse Vegetation","LF 33: Sparsely Vegetated","No Dominant Lifeform","Sparsely vegetated","Sparsely vegetated",100,100,100,0.392157,0.392157,0.392157,10874,0.027
"62",7985,45619,"Western Warm Temperate Close Grown Crop",7985,2965,"Da Close Grown Crop","Agriculture","Agricultural",65,"Agricultural-Close Grown Crop","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",255,237,119,1,0.929412,0.466667,10145,0.026
"63",7100,39509,"Chihuahuan Mixed Desert and Thornscrub",7100,2100,"Sh Chihuahuan Mixed Desert and Thornscrub","Shrub","Shrubland",613,"Desert Scrub","SRM 508: Creosotebush-Tarbush","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",74,44,29,0.290196,0.172549,0.113725,8787,0.022
"64",7476,31041,"Tamaulipan Riparian Woodland",7467,2476,"Tr Tamaulipan Riparian Systems","Tree","Riparian",668,"Eastern Small Stream Riparian Forests","LF 42: Great Plains Riparian","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",6,53,122,0.023529,0.207843,0.478431,6903,0.017
"65",7149,27260,"Western Great Plains Shortgrass Prairie",7149,2149,"He Western Great Plains Shortgrass Prairie","Herb","Grassland",648,"Shortgrass Prairie","SRM 611: Blue Grama-Buffalograss","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,142,66,1,0.556863,0.258824,6062,0.015
"66",7573,27586,"Tamaulipan Riparian Herbaceous",7467,2476,"Tr Tamaulipan Riparian Systems","Herb","Riparian",668,"Eastern Small Stream Riparian Forests","LF 42: Great Plains Riparian","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid",6,53,122,0.023529,0.207843,0.478431,6135,0.015
"67",9024,25282,"Western Great Plains Cliff and Outcrop",9024,2007,"Sps Western Great Plains Sparsely Vegetated Systems","Sparse","Sparsely Vegetated",700,"Sparse Vegetation","LF 33: Sparsely Vegetated","No Dominant Lifeform","Sparsely vegetated","Sparsely vegetated",100,100,100,0.392157,0.392157,0.392157,5623,0.014
